"Freq [GHz]","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='10mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='11mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='12mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='13mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='14mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='15mm'"
1.204,-4.1328375516152,-2.86000718451695,-2.70792285196838,-1.47208715138009,-0.512415777168565,-1.49582313787324
1.205,-4.08515434615608,-2.82687131732195,-2.70897092418197,-1.45986612363973,-0.510637327428618,-1.49389634357227
1.206,-4.03793203128714,-2.79428243613431,-2.71000933582827,-1.44785333928668,-0.508912302426402,-1.49201634290913
1.207,-3.99118194846123,-2.76223269784812,-2.71103837493463,-1.43604524346524,-0.507239971400393,-1.49018312008296
1.208,-3.9449142912507,-2.73071427492244,-2.712058340648,-1.42443835961458,-0.505619627459395,-1.48839666372154
1.209,-3.89913816296289,-2.69971936384082,-2.7130695433609,-1.41302928774799,-0.504050586955062,-1.48665696691096
1.21,-3.85386163273794,-2.66924019289044,-2.71407230483467,-1.40181470277202,-0.502532188878645,-1.48496402722607
1.211,-3.80909179004171,-2.63926902930304,-2.71506695831992,-1.39079135284475,-0.501063794281086,-1.48331784676187
1.212,-3.76483479748589,-2.60979818579707,-2.71605384867388,-1.37995605777257,-0.49964478571554,-1.48171843216579
1.213,-3.72109594192477,-2.58082002655873,-2.71703333247482,-1.36930570744471,-0.498274566701528,-1.48016579467085
1.214,-3.67787968379312,-2.55232697269747,-2.71800577813317,-1.35883726030471,-0.496952561209893,-1.47865995012976
1.215,-3.63518970466376,-2.52431150720904,-2.71897156599924,-1.34854774185813,-0.495678213167836,-1.47720091904997
1.216,-3.59302895301468,-2.49676617947824,-2.71993108846763,-1.33843424321588,-0.494450985983255,-1.47578872662974
1.217,-3.55139968820677,-2.46968360935068,-2.72088475007789,-1.32849391967235,-0.493270362087764,-1.47442340279512
1.218,-3.51030352268146,-2.44305649080193,-2.72183296761158,-1.31872398931762,-0.492135842497653,-1.47310498223799
1.219,-3.46974146239631,-2.41687759523065,-2.72277617018543,-1.3091217316832,-0.491046946392239,-1.47183350445518
1.22,-3.42971394552252,-2.39113977440034,-2.72371479934064,-1.29968448642039,-0.490003210708939,-1.47060901378855
1.221,-3.39022087943445,-2.36583596305367,-2.72464930912803,-1.29040965201079,-0.489004189754544,-1.46943155946627
1.222,-3.35126167602605,-2.34095918122124,-2.72558016618909,-1.28129468450812,-0.4880494548321,-1.46830119564507
1.223,-3.31283528539274,-2.31650253624573,-2.72650784983269,-1.27233709631085,-0.487138593882915,-1.4672179814538
1.224,-3.27494022792077,-2.29245922454115,-2.72743285210747,-1.26353445496482,-0.486271211143181,-1.46618198103795
