"Freq [GHz]","dB(S(WavePort1,WavePort1)) [] - split1x='16mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='17mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='18mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='19mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='20mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='21mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='22mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='23mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='24mm' split2x='15mm'","dB(S(WavePort1,WavePort1)) [] - split1x='25mm' split2x='15mm'"
1.09,-3.08948651512003,-1.06249026854594,-0.891794669064514,-0.817039741521994,-1.3854508474007,-2.49719780276041,-2.61905033749806,-0.861013477796353,-0.61738150390773,-2.05584381315997
1.091,-2.97532079318197,-1.04487566987626,-0.879594653156458,-0.807318524332096,-1.38174718702553,-2.48871746316876,-2.60362239002781,-0.848698490067689,-0.604596050984727,-2.04748373999739
1.092,-2.86737804383097,-1.02773096004609,-0.867674108455166,-0.797806004317705,-1.37808145875644,-2.48023650811293,-2.5882855601204,-0.836723714711319,-0.59210368618053,-2.03919724401275
1.093,-2.76523639303739,-1.01104047533551,-0.856025031552849,-0.788496643645461,-1.37445339976812,-2.47175559476009,-2.57304033308277,-0.825077188673644,-0.579895283390969,-2.03098390484925
1.094,-2.66850745086897,-0.994789179750832,-0.844639698589837,-0.779385085548833,-1.37086275067413,-2.46327537487693,-2.55788716182713,-0.813747479170365,-0.56796204166529,-2.02284330446901
1.095,-2.57683328674487,-0.97896263611804,-0.833510653959846,-0.770466147472697,-1.36730925549708,-2.45479649475581,-2.54282646765341,-0.802723655907519,-0.556295471932012,-2.01477502720908
1.096,-2.48988371422066,-0.963546978667374,-0.822630699530527,-0.761734814512152,-1.36379266163908,-2.44631959514405,-2.52785864102332,-0.791995264971214,-0.544887384304658,-2.0067786598354
1.097,-2.40735384893882,-0.948528887024718,-0.81199288435328,-0.753186233131492,-1.3603127198527,-2.43784531117619,-2.51298404232593,-0.781552304273903,-0.533729875941162,-1.99885379159486
1.098,-2.32896190837909,-0.933895561530295,-0.801590494837781,-0.744815705150115,-1.3568691842121,-2.42937427230931,-2.4982030026343,-0.771385200453486,-0.522815319431995,-1.99100001426532
1.099,-2.25444722623721,-0.919634699810307,-0.791417045368032,-0.736618681982868,-1.35346181208466,-2.42090710226129,-2.48351582445297,-0.761484787129233,-0.512136351693014,-1.98321692220394
1.1,-2.18356845779493,-0.905734474531511,-0.781466269338,-0.728590759122772,-1.35009036410291,-2.41244441895212,-2.46892278245612,-0.751842284425237,-0.501685863340214,-1.97550411239359
1.101,-2.1161019556401,-0.892183512273032,-0.771732110586007,-0.720727670854897,-1.34675460413682,-2.40398683444812,-2.45442412421616,-0.742449279678761,-0.491456988524325,-1.96786118448756
1.102,-2.05184029764753,-0.87897087345368,-0.762208715208322,-0.7130252851906,-1.34345429926645,-2.39553495490909,-2.44002007092255,-0.733297709256658,-0.48144309520443,-1.96028774085259
1.103,-1.99059095131497,-0.866086033256718,-0.752890423733326,-0.705479599011979,-1.34018921975497,-2.38708938053834,-2.42571081809063,-0.72437984140865,-0.471637775840494,-1.95278338661027
1.104,-1.9321750604269,-0.853518863497519,-0.743771763638666,-0.698086733416792,-1.33695913902202,-2.37865070553561,-2.41149653626052,-0.715688260091044,-0.462034838485729,-1.94534772967684
1.105,-1.8764263416406,-0.841259615382731,-0.73484744219474,-0.690842929254726,-1.33376383361742,-2.37021951805287,-2.39737737168559,-0.707215849699481,-0.452628298260474,-1.93798038080151
1.106,-1.82319007999593,-0.82929890311273,-0.726112339618751,-0.683744542846231,-1.3306030831953,-2.36179640015285,-2.38335344701077,-0.698955780653261,-0.443412369190212,-1.93068095360321
1.107,-1.77232221357505,-0.81762768828182,-0.717561502524397,-0.67678804187565,-1.32747667048847,-2.35338192777037,-2.3694248619404,-0.690901495778041,-0.434381456391023,-1.92344906460599
1.108,-1.72368849860777,-0.80623726503346,-0.709190137653017,-0.669970001450763,-1.3243843812833,-2.34497667067652,-2.35559169389546,-0.683046697437224,-0.425530148586636,-1.91628433327306
1.109,-1.67716374725696,-0.795119245930124,-0.700993605872816,-0.663287100321234,-1.3213260043948,-2.33658119244539,-2.34185399866039,-0.675385335365818,-0.416853210941873,-1.90918638203934
1.11,-1.63263113114212,-0.784265548499956,-0.692967416433399,-0.656736117248845,-1.31830133164217,-2.32819605042361,-2.32821181101908,-0.66791159516368,-0.408345578198097,-1.90215483634294
1.111,-1.58998154438685,-0.773668382424325,-0.685107221463637,-0.650313927522774,-1.31531015782467,-2.31982179570248,-2.3146651453804,-0.660619887407984,-0.400002348096796,-1.89518932465518
1.112,-1.54911302061815,-0.763320237332652,-0.677408810701354,-0.644017499613445,-1.31235228069782,-2.31145897309273,-2.30121399639284,-0.653504837347463,-0.391818775078256,-1.88828947850958
1.113,-1.50993019891431,-0.753213871172681,-0.669868106444035,-0.637843891958807,-1.30942750094996,-2.30310812110183,-2.28785833954854,-0.64656127514342,-0.383790264242673,-1.88145493252956
1.114,-1.4723438342041,-0.743342299126246,-0.662481158710238,-0.63179024987725,-1.30653562217925,-2.2947697719139,-2.27459813177657,-0.639784226624907,-0.375912365561836,-1.87468532445512
1.115,-1.43627034806847,-0.733698783042216,-0.655244140601982,-0.625853802601605,-1.30367645087086,-2.28644445137199,-2.26143331202552,-0.633168904527608,-0.368180768329956,-1.86798029516836
1.116,-1.40163141629694,-0.724276821360012,-0.648153343858771,-0.620031860428921,-1.30084979637468,-2.27813267896302,-2.24836380183532,-0.626710700187846,-0.360591295842753,-1.86133948871801
1.117,-1.36835358990776,-0.715070139498425,-0.641205174594548,-0.614321811980986,-1.29805547088327,-2.26983496780495,-2.23538950589853,-0.62040517566521,-0.353139900294483,-1.85476255234295
1.118,-1.33636794666037,-0.706072680686033,-0.634396149209128,-0.608721121570851,-1.29529328941019,-2.26155182463644,-2.22251031261087,-0.61424805626878,-0.345822657882974,-1.84824913649476
1.119,-1.30560977037438,-0.697278597210742,-0.627722890466203,-0.603227326670737,-1.29256306976873,-2.25328374980885,-2.20972609461121,-0.608235223463713,-0.338635764113327,-1.84179889485937
1.12,-1.27601825562553,-0.68868224206722,-0.621182123730399,-0.59783803547702,-1.28986463255089,-2.24503123728052,-2.19703670931108,-0.602362708136388,-0.331575529291213,-1.83541148437773
1.121,-1.2475362356185,-0.680278160982254,-0.614770673356175,-0.59255092456812,-1.28719780110682,-2.23679477461329,-2.18444199941364,-0.59662668419759,-0.324638374197306,-1.8290865652658
1.122,-1.22010993124308,-0.672061084799023,-0.608485459221784,-0.587363736651385,-1.2845624015245,-2.22857484297133,-2.17194179342231,-0.591023462504714,-0.317820825934591,-1.82282380103352
1.123,-1.1936887195056,-0.66402592220242,-0.602323493401746,-0.582274278395178,-1.28195826260988,-2.22037191712208,-2.159535906139,-0.585549485084999,-0.311119513940849,-1.81662285850313
1.124,-1.16822491969449,-0.656167752768525,-0.596281876971788,-0.577280418342569,-1.27938521586723,-2.21218646543933,-2.14722413915218,-0.580201319642907,-0.304531166158838,-1.8104834078267
1.125,-1.14367359578926,-0.648481820322151,-0.590357796940266,-0.572380084903252,-1.27684309548,-2.20401894990845,-2.13500628131474,-0.574975654336018,-0.298052605357118,-1.80440512250292
1.126,-1.11999237375777,-0.640963526587385,-0.584548523300576,-0.567571264420391,-1.27433173829186,-2.19586982613364,-2.12288210921182,-0.569869292804489,-0.291680745594777,-1.79838767939323
1.127,-1.09714127250913,-0.633608425116748,-0.578851406199184,-0.562851999309285,-1.27185098378817,-2.18773954334722,-2.11085138761866,-0.564879149440312,-0.285412588823565,-1.79243075873724
1.128,-1.07508254737989,-0.626412215485443,-0.573263873214298,-0.558220386264892,-1.26940067407782,-2.17962854442086,-2.09891386994856,-0.560002244883182,-0.279245221621382,-1.7865340441676
1.129,-1.05378054513135,-0.619370737737816,-0.567783426740292,-0.553674574535358,-1.26698065387533,-2.17153726587879,-2.08706929869111,-0.555235701730848,-0.273175812051146,-1.78069722272424
1.13,-1.033201569526,-0.612479967073866,-0.562407641473366,-0.54921276425887,-1.26459077048334,-2.16346613791287,-2.07531740584082,-0.550576740452331,-0.267201606639554,-1.77491998486796
1.131,-1.01331375663283,-0.605736008764332,-0.55713416199403,-0.544833204861221,-1.26223087377544,-2.15541558439953,-2.06365791331612,-0.546022675493198,-0.261319927470293,-1.76920202449362
